Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Atlanta Utd,30,29.3,51.5,25,275,"2,250",25,26,20,46,24,2,2,50,0,34.2,32.6,27.1,59.7,442,1096,1.04,0.8,1.84,0.96,1.76,1.37,1.08,2.45,1.31,2.39
Austin,20,28.6,46.8,24,264,"2,160",24,22,17,39,21,1,2,52,1,31.8,30.2,23.2,53.4,330,798,0.92,0.71,1.62,0.87,1.58,1.32,0.97,2.29,1.26,2.22
CF Montréal,31,24.5,47.5,26,286,"2,340",26,24,17,41,22,2,2,61,2,29.9,28.3,21.4,49.7,389,904,0.92,0.65,1.58,0.85,1.5,1.15,0.82,1.97,1.09,1.91
Charlotte,25,28.6,47.8,25,275,"2,250",25,42,29,71,39,3,3,42,1,40.1,37.8,30.6,68.4,405,929,1.68,1.16,2.84,1.56,2.72,1.61,1.23,2.83,1.51,2.74
Chicago Fire,26,26.6,48.1,25,275,"2,250",25,47,33,80,42,5,5,57,3,40.5,36.6,29.5,66.1,382,882,1.88,1.32,3.2,1.68,3,1.62,1.18,2.8,1.46,2.64
Colorado Rapids,27,26.2,43.8,25,275,"2,250",25,31,20,51,25,6,9,48,2,36.4,29.4,23.9,53.3,326,853,1.24,0.8,2.04,1,1.8,1.46,0.96,2.41,1.17,2.13
Columbus Crew,25,27.4,59.8,25,275,"2,250",25,38,26,64,34,4,4,37,1,42,38.8,28.9,67.7,481,1383,1.52,1.04,2.56,1.36,2.4,1.68,1.16,2.84,1.55,2.71
D.C. United,27,26.7,47.2,26,286,"2,340",26,22,15,37,20,2,3,67,1,28,25.9,20.2,46.1,303,865,0.85,0.58,1.42,0.77,1.35,1.08,0.78,1.85,1,1.77
FC Cincinnati,24,27.9,49.3,25,275,"2,250",25,39,26,65,36,3,3,50,1,30.3,28,20.8,48.9,427,899,1.56,1.04,2.6,1.44,2.48,1.21,0.83,2.05,1.12,1.96
FC Dallas,29,27.4,42.8,25,275,"2,250",25,37,21,58,35,2,4,57,3,36.4,33.4,24.8,58.2,349,823,1.48,0.84,2.32,1.4,2.24,1.46,0.99,2.45,1.33,2.33
Houston Dynamo,29,27.3,52.7,25,275,"2,250",25,31,21,52,27,4,4,65,2,32,29,22.6,51.6,329,1007,1.24,0.84,2.08,1.08,1.92,1.28,0.91,2.19,1.16,2.07
Inter Miami,27,29.2,56,22,242,"1,980",22,49,38,87,49,0,0,52,3,38,38,30.9,69,319,958,2.23,1.73,3.95,2.23,3.95,1.73,1.41,3.14,1.73,3.14
